Chapter (English)	Chapter (Hindi)	Rubric (English)	Rubric (Hindi)	Medicine	Grading
HAIR	बाल	HAIR - color changes	बाल - रंग बदलता है	Kali-i	2
HAIR	बाल	HAIR - curly, becomes	बाल - घुँघराले, हो जाते हैं	Mez	2
HAIR	बाल	HAIR - dryness	बाल - रूखापन	Aloe	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	alum	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	ambr	2
HAIR	बाल	HAIR - dryness	बाल - रूखापन	bad	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	calc	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	chel	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	fl-ac	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	kali-c	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	phos	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	psor	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	secale	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	sulph	1
HAIR	बाल	HAIR - dryness	बाल - रूखापन	Thuj	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	Alum	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	ambr	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	ant-c	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	ant-t	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	apis	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	ars	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	arund	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	asc-t	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Aur	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	bar-c	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	bell	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	bov	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	bufo	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	calc	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	calc-p	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	canth	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	carb-an	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	carb-v	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	carl	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	caust	1
